COUNTRY,SPADOC_CD,ORBITAL_TBA,ORBITAL_PAYLOAD_COUNT,ORBITAL_ROCKET_BODY_COUNT,ORBITAL_DEBRIS_COUNT,ORBITAL_TOTAL_COUNT,DECAYED_PAYLOAD_COUNT,DECAYED_ROCKET_BODY_COUNT,DECAYED_DEBRIS_COUNT,DECAYED_TOTAL_COUNT,COUNTRY_TOTAL
"ARAB SATELLITE COMMUNICATIONS ORGANIZATION","AB","0","15","0","0","15","1","0","0","1","16"
"ABS Global Ltd","ABS","0","5","0","0","5","0","0","0","0","5"
"ASIASAT CORP","AC","0","8","0","0","8","0","0","0","0","8"
"REPUBLIC OF ANGOLA","AGO","0","2","0","0","2","0","0","0","0","2"
"ALGERIA","ALG","0","7","0","0","7","0","0","0","0","7"
"ARGENTINA","ARGN","0","34","0","0","34","38","0","1","39","73"
"AUSTRIA","ASRA","0","3","0","0","3","1","0","0","1","4"
"AUSTRALIA","AUS","0","42","2","0","44","28","0","0","28","72"
"AZERBAIJAN","AZER","0","3","0","0","3","0","0","0","0","3"
"BELGIUM","BEL","0","10","0","0","10","6","0","0","6","16"
"BELARUS","BELA","0","1","0","0","1","1","0","0","1","2"
"PEOPLES REPUBLIC OF BANGLADESH","BGD","0","1","0","0","1","1","0","0","1","2"
"REPUBLIC OF BULGARIA","BGR","0","6","0","0","6","3","0","0","3","9"
"Bahrain","BHR","0","1","0","0","1","0","0","0","0","1"
"BOLIVIA","BOL","0","1","0","0","1","0","0","0","0","1"
"BRAZIL","BRAZ","0","31","0","0","31","8","0","0","8","39"
"Botswana","BWA","0","1","0","0","1","0","0","0","0","1"
"CANADA","CA","0","75","0","5","80","34","0","2","36","116"
"PEOPLES REPUBLIC OF CHINA/BRAZIL","CHBZ","0","4","0","7","11","0","0","80","80","91"
"CHILE","CHLE","0","3","0","0","3","4","0","0","4","7"
"COMMONWEALTH OF INDEPENDENT STATES","CIS","18","1612","1049","3907","6586","2196","2954","13467","18617","25203"
"COLOMBIA","COL","0","1","0","0","1","2","0","0","2","3"
"REPUBLIC OF COSTA RICA","CRI","0","0","0","0","0","1","0","0","1","1"
"CZECHOSLOVAKIA","CZCH","0","2","0","0","2","1","0","0","1","3"
"Czechia","CZE","0","4","0","0","4","6","0","0","6","10"
"DENMARK","DEN","0","9","0","0","9","9","0","0","9","18"
"Djibouti","DJI","0","1","0","0","1","1","0","0","1","2"
"ECUADOR","ECU","0","2","0","0","2","0","0","0","0","2"
"EGYPT","EGYP","0","12","0","0","12","2","0","0","2","14"
"EUROPEAN SPACE AGENCY","ESA","1","114","7","11","133","17","4","30","51","184"
"EUROPEAN SPACE RESEARCH ORGANIZATION","ESRO","0","0","0","0","0","7","0","3","10","10"
"ESTONIA","EST","0","1","0","0","1","1","0","0","1","2"
"EUROPEAN ORGANIZATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES","EUME","0","10","0","8","18","0","0","0","0","18"
"EUROPEAN TELECOMMUNICATIONS SATELLITE ORGANIZATION (EUTELSAT)","EUTE","0","62","0","0","62","0","0","0","0","62"
"FRANCE/GERMANY","FGER","0","2","0","0","2","0","0","0","0","2"
"FINLAND","FIN","0","30","0","0","30","15","0","0","15","45"
"FRANCE","FR","0","131","165","354","650","26","92","711","829","1479"
"FRANCE/ITALY","FRIT","0","2","0","0","2","0","0","0","0","2"
"GERMANY","GER","0","89","0","1","90","49","0","1","50","140"
"REPUBLIC OF GHANA","GHA","0","0","0","0","0","1","0","0","1","1"
"GLOBALSTAR","GLOB","0","84","0","1","85","0","0","1","1","86"
"GREECE","GREC","0","10","0","0","10","2","0","0","2","12"
"Croatia","HRV","0","1","0","0","1","0","0","0","0","1"
"HUNGARY","HUN","0","4","0","0","4","7","0","0","7","11"
"INTERNATIONAL MARITIME SATELLITE ORGANIZATION (INMARSAT)","IM","0","20","0","0","20","0","0","0","0","20"
"INDIA","IND","0","114","42","36","192","39","38","492","569","761"
"INDONESIA","INDO","0","20","0","0","20","3","0","0","3","23"
"IRAN","IRAN","6","5","2","0","13","11","7","2","20","33"
